dataset,algorithm,spec,metric,seed42,mean10,sd10,min10,max10
COCOMO81,KNN,raw,MAE,525.0880952380952,560.2251571428571,16.207528294188748,525.0880952380952,586.6118095238096
COCOMO81,KNN,raw,RMSE,973.5990031591176,983.0676437758375,49.92509026934001,905.8041336393746,1052.5204131355426
COCOMO81,KNN,raw,MMRE,3.4381858105506162,3.6288838659141214,0.17548129134458032,3.438072263935903,3.900521944784974
COCOMO81,KNN,raw,MdMRE,1.4161799400942279,1.6678377098891528,0.20613343068917453,1.4161799400942279,1.9915777705491464
COCOMO81,KNN,raw,PRED25,9.76190476190476,9.476190476190476,2.1700218222392853,6.19047619047619,12.857142857142856
COCOMO81,KNN,raw,SA,56.3367343952411,56.76976538432409,1.7421524694224035,53.538299333628615,59.40560098806768
COCOMO81,SVR,raw,MAE,641.9687136558041,643.4183847878073,11.854710200462538,620.7817479688958,663.4585111914
COCOMO81,SVR,raw,RMSE,1300.1274062071138,1250.2440438679446,81.97331401110657,1124.4778590718818,1339.7783963123131
COCOMO81,SVR,raw,MMRE,2.513196891952425,2.610886514525382,0.11934317698544311,2.4475980073283212,2.7880169100142957
COCOMO81,SVR,raw,MdMRE,0.9880336501467385,1.3377138548563232,0.4824172278973979,0.9689823357625066,2.2322733623322897
COCOMO81,SVR,raw,PRED25,7.857142857142856,9.761904761904761,3.1983240761285527,6.19047619047619,14.523809523809522
COCOMO81,SVR,raw,SA,51.561852197752366,53.886473351860026,2.3291701285433426,51.42236170760633,57.588857060148484
COCOMO81,LR,semilog,MAE,63492.015245469345,195566.6927181017,294603.6167033441,39384.24539675509,995510.1785042512
COCOMO81,LR,semilog,RMSE,155268.30890146826,503148.7316057992,778767.6385514581,96212.74293295048,2633110.9977100072
COCOMO81,LR,semilog,MMRE,11.432886361700309,31.562718306159447,44.576569398217984,7.951898777513128,152.56980599500102
COCOMO81,LR,semilog,MdMRE,0.9565704653039593,0.9063033518135223,0.17687338692716548,0.6850374951377207,1.2172781476350605
COCOMO81,LR,semilog,PRED25,14.523809523809522,15.095238095238091,2.0974014805281174,12.619047619047617,19.047619047619044
COCOMO81,LR,semilog,SA,-3395.4772853751974,-11680.21918874145,19274.483670526806,-65804.36137135533,-2464.83703496665
COCOMO81,DT,semilog,MAE,792.4680952380957,564.6267380952384,122.98954613074177,394.87619047619035,792.4680952380957
COCOMO81,DT,semilog,RMSE,1532.2409298580842,1059.2561532821983,252.29803190055387,724.2568384326071,1532.2409298580842
COCOMO81,DT,semilog,MMRE,1.4349910619364965,1.3145378771087752,0.2220553025023521,0.9321149165310085,1.6352027518669061
